Row Labels,2005,Max of Production
Odisha,647999,6340
Puducherry,16058,152
Punjab,124288,3000
Rajasthan,270541,31594
Tamil Nadu,176278,27443
Telangana ,124346,7925
Tripura,34170,346
Uttar Pradesh,678109,34154
Uttarakhand,100324,174
West Bengal,335082,65298
Small millets,2787338,24628
Andhra Pradesh,130449,17352
Arunachal Pradesh,158382,3635
Assam,266774,2167
Bihar,228583,2278
Chhattisgarh,186765,8145
Dadra and Nagar Haveli,6033,219
Gujarat,72046,2800
Himachal Pradesh,58107,6368
Jammu and Kashmir ,6009,2699
Karnataka,206661,7268
Kerala,8021,137
Madhya Pradesh,308884,24140
Maharashtra,106073,12300
Meghalaya,78200,760
Nagaland,62210,3120
Odisha,54037,8730
Puducherry,4011,3
Rajasthan,94197,4643
Sikkim,32118,1580
Tamil Nadu,200552,24600
Telangana ,38096,1020
Uttar Pradesh,330744,10370
Uttarakhand,60216,24628
West Bengal,90170,1051
Snak Guard,60076,0
Kerala,20027,0
Tamil Nadu,40049,0
Soyabean,1895188,673092
Andhra Pradesh,40161,3866
Arunachal Pradesh,19976,450
Chhattisgarh,148587,39291
Gujarat,16085,27500
Himachal Pradesh,18051,101
Karnataka,126329,115271
Kerala,4026,10
Madhya Pradesh,499401,673092
Maharashtra,258819,670400
Manipur,18000,170
Meghalaya,68202,868
Mizoram,22022,875
Nagaland,60179,7750
Odisha,1999,10
Rajasthan,150238,270066
Sikkim,32107,1370
Tamil Nadu,10025,
Telangana ,36138,133286
Uttar Pradesh,192322,18036
Uttarakhand,118407,15487
West Bengal,54114,410
Sugarcane,4668930,28322000
Andaman and Nicobar Islands,6021,2379
Andhra Pradesh,152411,4097998
Arunachal Pradesh,86267,9420
Assam,286790,353543
Bihar,350934,2702830
Chhattisgarh,164606,2129180
Dadra and Nagar Haveli,8005,122320
Goa,14059,43480
Gujarat,118267,11754000
Haryana,188502,2500000
Himachal Pradesh,40078,28586
Jammu and Kashmir ,14026,1923
Jharkhand,8026,14160
Karnataka,236683,16264475
Kerala,118333,227197.2
Madhya Pradesh,443153,934340
Maharashtra,262839,15936200
Manipur,30033,13060
Meghalaya,68182,128
Mizoram,34085,6554
Nagaland,60184,126040
Odisha,312983,354750.5
Puducherry,14027,382297
Punjab,140355,1840000
Rajasthan,222318,328478
Tamil Nadu,256684,28322000
Telangana ,74204,2645000
Tripura,48217,25158
Uttar Pradesh,684015,17757963
Uttarakhand,46144,4304432
West Bengal,178499,540840
Sunflower,3240558,113086
Andhra Pradesh,146469,113086
Arunachal Pradesh,19973,24
Bihar,246694,8099
Chhattisgarh,134509,1217
Dadra and Nagar Haveli,1999,3
Haryana,44051,20500
Karnataka,675963,55310
Madhya Pradesh,124229,765
Maharashtra,569427,31900
Mizoram,2004,5
Nagaland,96296,910
Odisha,130114,1350
Puducherry,2010,1
Punjab,8030,12000
Rajasthan,50052,149
Tamil Nadu,284791,15416
Telangana ,116261,55000
Uttar Pradesh,467243,7163
Uttarakhand,28086,240
West Bengal,92357,7709
Sweet potato,2387334,64457
Andaman and Nicobar Islands,10013,700.35
Andhra Pradesh,122458,4655
Assam,264749,12637
Bihar,162180,12356
Chhattisgarh,160631,5956
Haryana,48138,800
Karnataka,120421,17176
Kerala,102329,2371
Madhya Pradesh,389315,2996
Manipur,6004,132
Meghalaya,76229,5864
Nagaland,22132,1450
Odisha,128095,48240
Puducherry,2013,10
Rajasthan,158301,1995
Tamil Nadu,152356,17360
Telangana ,28091,1027
Uttar Pradesh,433879,64457
Tapioca,942595,1210020
Andaman and Nicobar Islands,4010,2108
Andhra Pradesh,40113,159148
Assam,236623,9224
Karnataka,90303,6663
Kerala,164477,730475
Manipur,12007,300
Meghalaya,66160,11303
Mizoram,18032,1788
Nagaland,32170,13700
Puducherry,32104,6712
Rajasthan,1999,3
Tamil Nadu,240592,1210020
Telangana ,4005,38
Tea,46057,46439
Kerala,10008,46439
Nagaland,36049,1600
Tobacco,1648544,158600
Andhra Pradesh,156476,158600
Assam,228647,121
Bihar,138325,11879
Chhattisgarh,34103,10
Gujarat,88312,124600
Haryana,2012,
Himachal Pradesh,2001,1
Jammu and Kashmir ,8012,10
Karnataka,136468,72185
Kerala,10014,501
Madhya Pradesh,54176,40
Maharashtra,2014,2100
Meghalaya,46130,258
Mizoram,34067,180
Odisha,46029,1740
Rajasthan,122207,427
Tamil Nadu,100219,5712
Telangana ,74181,14615
Uttar Pradesh,270827,92620
Uttarakhand,24069,129
West Bengal,70255,22780
Tomato,224647,192268
Andhra Pradesh,84466,192268
Karnataka,24030,66553
Madhya Pradesh,44056,0
Maharashtra,24036,25412
Manipur,10012,864
Tamil Nadu,32039,56986
Telangana ,6008,8576
Total foodgrain,142072,1121727
Maharashtra,23964,4174
Meghalaya,5992,20172
Sikkim,1998,33140
Tamil Nadu,37954,435800
Uttar Pradesh,39940,1121727
Uttarakhand,32224,330581
Turmeric,2448653,133010
Andhra Pradesh,112397,43737
Arunachal Pradesh,78289,842
Assam,254641,2012
Bihar,128150,1704
Chhattisgarh,178693,419
Haryana,14045,2
Himachal Pradesh,40090,28
Jammu and Kashmir ,4021,13.2
Karnataka,200641,63965
Kerala,120354,1747
Madhya Pradesh,258801,16033
Manipur,28042,170
Meghalaya,74163,6037
Nagaland,14054,1140
Odisha,90074,38660
Puducherry,8046,9
Rajasthan,46089,580
Tamil Nadu,210475,62135
Telangana ,58180,133010
Uttar Pradesh,344993,2969
Uttarakhand,54235,1068
West Bengal,130180,8097
Turnip,4006,123
Jammu and Kashmir ,4006,123
Urad,5859843,124529
Andhra Pradesh,270771,114427
Assam,242931,3076
Bihar,300987,6759
Chandigarh,6001,20
Chhattisgarh,281136,5543
Dadra and Nagar Haveli,4018,1833
Gujarat,208613,26400
Haryana,98201,500
Himachal Pradesh,70120,1312
Jammu and Kashmir ,52171,2856.3
Karnataka,296971,28489
Madhya Pradesh,437587,33240
Maharashtra,359008,56100
Nagaland,44202,370
Odisha,732344,15530
Puducherry,44164,1888
Punjab,56164,6700
Rajasthan,200397,24366
Sikkim,34124,1600
Tamil Nadu,262677,40984
Telangana ,160458,15000
Tripura,54247,278
Uttar Pradesh,1179237,124529
Uttarakhand,158551,2789
West Bengal,304763,12635
Varagu,34018,1300
Andhra Pradesh,10001,1300
Tamil Nadu,24017,1060
Water Melon,34044,0
Madhya Pradesh,8012,0
Rajasthan,10011,0
Tamil Nadu,16021,0
Wheat,4656540,1849000
Andhra Pradesh,26077,405
Arunachal Pradesh,130315,3330
Assam,246638,25101
Bihar,387134,457110
Chandigarh,14030,3375
Chhattisgarh,186708,26815
Dadra and Nagar Haveli,4004,1470
Gujarat,236620,759000
Haryana,166407,1183000
Himachal Pradesh,90175,156903
Jammu and Kashmir ,62127,209390
Jharkhand,94248,31549
Karnataka,162436,71114
Madhya Pradesh,445078,1186378
Maharashtra,292735,164600
Meghalaya,32093,6884
Mizoram,5999,11
Nagaland,80312,3280
Odisha,246635,3487
Punjab,184553,1849000
Rajasthan,278453,722874
Sikkim,36110,4310
Tamil Nadu,16030,12
Telangana ,68147,5199
Tripura,46152,960
Uttar Pradesh,814377,1041832
Uttarakhand,116447,406529
West Bengal,186500,346801
Yam,22029,0
Tamil Nadu,22029,0
Grand Total,148071680,1125000000
