Row Labels,2005,Max of Production
Meghalaya,4008,86
Odisha,94059,1090
Puducherry,10026,4
Rajasthan,242527,131438
Tamil Nadu,206387,3167
Telangana ,68250,1776
Uttar Pradesh,347652,695
Cotton(lint),2741378,1714900
Andhra Pradesh,142440,809620
Assam,246670,502
Chhattisgarh,32094,609
Gujarat,220546,1714900
Haryana,186382,581000
Himachal Pradesh,22045,20
Jammu and Kashmir ,4008,15.5
Karnataka,279029,362752
Kerala,12031,7702
Madhya Pradesh,214617,366717
Maharashtra,278831,1097100
Manipur,6008,70
Meghalaya,34062,4434
Mizoram,38070,843
Nagaland,30072,530
Odisha,11996,13430
Puducherry,20036,1900
Punjab,112313,659000
Rajasthan,250417,341270
Tamil Nadu,302811,69123
Telangana ,84231,776447
Tripura,38107,1008
Uttar Pradesh,146450,1976
West Bengal,28112,2672
Cowpea(Lobia),340000,9910
Andhra Pradesh,30182,2865
Karnataka,193165,9910
Kerala,16102,
Madhya Pradesh,56266,82
Meghalaya,6041,106
Nagaland,8053,310
Telangana ,30191,3558
Cucumber,56069,0
Andhra Pradesh,10013,0
Tamil Nadu,34043,0
Telangana ,12013,0
Drum Stick,84266,4110
Kerala,48221,4110
Tamil Nadu,36045,8
Dry chillies,3937192,338429
Andaman and Nicobar Islands,12030,822.8
Andhra Pradesh,272750,338429
Arunachal Pradesh,174563,2489
Assam,230641,2221
Bihar,190238,1033
Chhattisgarh,182770,735
Gujarat,206426,4400
Haryana,124265,1600
Himachal Pradesh,42124,114
Jammu and Kashmir ,24106,273.8
Karnataka,566219,54236
Kerala,13989,139
Madhya Pradesh,302930,41691
Manipur,66064,4660
Meghalaya,74238,649
Nagaland,4016,360
Odisha,148091,4500
Puducherry,26094,36
Rajasthan,260462,8033
Tamil Nadu,242559,13180
Telangana ,186453,101927
Uttar Pradesh,433967,1910
Uttarakhand,10035,363
West Bengal,142162,16262
Dry ginger,1842926,464481
Andaman and Nicobar Islands,16034,1800
Andhra Pradesh,36157,1642
Arunachal Pradesh,176564,22305
Assam,58245,21042
Bihar,82084,600
Chhattisgarh,142514,981
Haryana,4011,
Himachal Pradesh,36053,19131
Jammu and Kashmir ,8028,67.9
Karnataka,198598,464481
Kerala,134394,22717
Madhya Pradesh,310932,9868
Manipur,54074,1320
Meghalaya,88246,23189
Nagaland,16059,4550
Odisha,116097,7430
Puducherry,10003,152
Rajasthan,22041,1113
Tamil Nadu,50110,12136
Telangana ,26084,18549
Uttar Pradesh,42201,3142
Uttarakhand,88209,10437
West Bengal,126188,6774
Garlic,2052010,106500
Bihar,208263,1038
Chhattisgarh,152570,1457
Gujarat,152443,106500
Haryana,52165,2600
Himachal Pradesh,60152,3314
Jammu and Kashmir ,26087,127.3
Karnataka,154461,3319
Kerala,12031,10846
Madhya Pradesh,435309,97666
Meghalaya,6012,80
Odisha,110083,3910
Rajasthan,218479,68544
Tamil Nadu,44102,3775
Telangana ,14057,1305
Uttar Pradesh,321423,46669
Uttarakhand,78352,662
West Bengal,6021,1210
Ginger,128798,39258
Andhra Pradesh,2010,401
Assam,74461,39258
Himachal Pradesh,6030,2443
Nagaland,14087,3740
Telangana ,6038,16373
Uttar Pradesh,4028,161
Uttarakhand,22144,4479
Gram,4434035,309000
Andhra Pradesh,140367,226885
Assam,262768,263
Bihar,322836,10404
Chhattisgarh,178723,98361
Dadra and Nagar Haveli,10019,150
Gujarat,174413,47200
Haryana,168372,43000
Himachal Pradesh,56095,404
Jammu and Kashmir ,14002,2748.4
Jharkhand,96262,3259.46
Karnataka,244792,155732
Madhya Pradesh,419315,206837
Maharashtra,391046,121200
Meghalaya,38089,416
Mizoram,6009,6
Nagaland,82252,360
Odisha,98068,5240
Punjab,144392,13000
Rajasthan,286466,309000
Tamil Nadu,168414,3427
Telangana ,108254,70415
Tripura,44196,67
Uttar Pradesh,756166,100032
Uttarakhand,88334,450
West Bengal,134385,15944
Grapes,72128,158127
Andhra Pradesh,12050,6886
Haryana,4005,3700
Karnataka,20026,158127
Madhya Pradesh,4004,0
Maharashtra,12018,124312
Rajasthan,2002,0
Tamil Nadu,14018,4002
Telangana ,4005,26258
Groundnut,5230487,1163500
Andhra Pradesh,274759,884963
Arunachal Pradesh,15980,82
Bihar,76201,591
Chhattisgarh,156597,10325
Dadra and Nagar Haveli,8031,40
Goa,16075,6973
Gujarat,372828,1163500
Haryana,104266,1500
Himachal Pradesh,40042,114
Karnataka,543530,215651
Kerala,10016,5144
Madhya Pradesh,457273,193379
Maharashtra,485335,81500
Mizoram,10017,14
Nagaland,94344,850
Odisha,686157,61210
Puducherry,34133,2458
Punjab,52082,26000
Rajasthan,266449,229912
Tamil Nadu,339012,204788
Telangana ,200491,149000
Tripura,74312,256
Uttar Pradesh,543297,37739
Uttarakhand,46183,1731
West Bengal,323077,35116
Guar seed,788943,316439
Gujarat,78292,46400
Haryana,12072,28419
Punjab,70304,25000
Rajasthan,246547,316439
Tamil Nadu,13993,224821
Uttar Pradesh,367735,301
Horse-gram,2281139,18636
Andhra Pradesh,202581,11200
Bihar,152451,2398
Chhattisgarh,244963,4421
Haryana,28074,500
Himachal Pradesh,64114,471
Jammu and Kashmir ,4002,294
Karnataka,543541,18636
Kerala,2013,
Madhya Pradesh,88346,4722
Nagaland,30180,70
Odisha,353079,7490
Tamil Nadu,236748,17215
Telangana ,106277,3000
Uttarakhand,98366,2529
West Bengal,126404,1774
Jack Fruit,62116,7469
Kerala,20063,26
Manipur,14018,490
Tamil Nadu,28035,7469
Jobster,2013,140
Nagaland,2013,140
Jowar,4287112,400700
Andhra Pradesh,240645,139745
Bihar,116252,3091
Chhattisgarh,188699,2625
Dadra and Nagar Haveli,10042,588
Gujarat,280710,58900
Haryana,126254,10000
Himachal Pradesh,2000,0.1
Jammu and Kashmir ,4000,1.2
Karnataka,591665,316937
Kerala,38109,1563
Madhya Pradesh,601656,148078
Maharashtra,523319,400700
Nagaland,74248,1210
Odisha,70045,1160
Puducherry,10043,9
Rajasthan,286477,57981
Tamil Nadu,230579,107294
Telangana ,182376,62900
Uttar Pradesh,679955,39932
West Bengal,30038,588
Jute,848437,2225245
Assam,266745,148168
Bihar,120299,381530
Chhattisgarh,16079,
Madhya Pradesh,28084,1144
Manipur,1998,20
Meghalaya,50162,56496
Nagaland,42153,21000
Odisha,92201,25040
Tripura,44185,3610
Uttar Pradesh,5996,23
West Bengal,180535,2225245
Jute & mesta,14006,7870
Tripura,14006,7870
Kapas,7990,246
Mizoram,7990,246
Khesari,820982,131019
Bihar,359233,28780
Chhattisgarh,158650,131019
Madhya Pradesh,130621,8474
West Bengal,172478,11638
Korra,62028,13700
Andhra Pradesh,23999,13700
Tamil Nadu,28017,366
Telangana ,10012,1000
Lab-Lab,28036,0
Tamil Nadu,28036,0
Lemon,24156,94029
Andhra Pradesh,24156,94029
Lentil,8055,518
Nagaland,4027,400
Uttarakhand,4028,518
Linseed,2610915,16151
Andhra Pradesh,40105,225
Assam,234661,1455
Bihar,354948,4645
Chhattisgarh,172663,3538
Himachal Pradesh,30046,574
